# Mouse<->human orthologs derived from MGI HOM_MouseHumanSequence.rpt
# Source: https://www.informatics.jax.org/downloads/reports/HOM_MouseHumanSequence.rpt
# Downloaded 2026-07-31. Regenerate with scripts/build_orthologs.py
mouse_symbol	human_symbol	relationship
Cep72	CEP72	1:1
Cep76	CEP76	1:1
Cep78	CEP78	1:1
Cep83	CEP83	1:1
Cep85	CEP85	1:1
Cep85l	CEP85L	1:1
Cep89	CEP89	1:1
Cep95	CEP95	1:1
Cep97	CEP97	1:1
Cept1	CEPT1	1:1
Cer1	CER1	1:1
Cercam	CERCAM	1:1
Cerk	CERK	1:1
Cerkl	CERKL	1:1
Cerox1	CEROX1	1:1
Cers1	CERS1	1:1
Cers2	CERS2	1:1
Cers3	CERS3	1:1
Cers4	CERS4	1:1
Cers5	CERS5	1:1
Cers6	CERS6	1:1
Cert1	CERT1	1:1
Ces1a	CES1	1:1
Ces1b	CES1	many
Ces1b	CES1P1	many
Ces1c	CES1	many
Ces1c	CES1P1	many
Ces1d	CES1	many
Ces1d	CES1P1	many
Ces1e	CES1	1:1
Ces1f	CES1	1:1
Ces1g	CES1	many
Ces1g	CES1P1	many
Ces1h	CES1	many
Ces1h	CES1P1	many
Ces2a	CES2	1:1
Ces2b	CES2	1:1
Ces2c	CES2	1:1
Ces2e	CES2	1:1
Ces2f	CES2	1:1
Ces2g	CES2	1:1
Ces2h	CES2	1:1
Ces3a	CES3	1:1
Ces3b	CES3	1:1
Ces4a	CES4A	1:1
Ces5a	CES5A	1:1
Cetn1	CETN1	1:1
Cetn2	CETN2	1:1
Cetn3	CETN3	1:1
Cetn4	CETN4P	1:1
Cfap100	CFAP100	1:1
Cfap107	CFAP107	1:1
Cfap119	CFAP119	1:1
Cfap126	CFAP126	1:1
Cfap141	CFAP141	1:1
Cfap144	CFAP144	many
Cfap144	CFAP144P1	many
Cfap157	CFAP157	1:1
Cfap161	CFAP161	1:1
Cfap184	CFAP184	1:1
Cfap20	CFAP20	1:1
Cfap206	CFAP206	1:1
Cfap20dc	CFAP20DC	1:1
Cfap210	CFAP210	1:1
Cfap221	CFAP221	1:1
Cfap251	CFAP251	1:1
Cfap263	CFAP263	1:1
Cfap276	CFAP276	1:1
Cfap298	CFAP298	1:1
Cfap299	CFAP299	1:1
Cfap300	CFAP300	1:1
Cfap36	CFAP36	1:1
Cfap410	CFAP410	1:1
Cfap418	CFAP418	1:1
Cfap43	CFAP43	1:1
Cfap44	CFAP44	1:1
Cfap45	CFAP45	1:1
Cfap46	CFAP46	1:1
Cfap47	CFAP47	1:1
Cfap52	CFAP52	1:1
Cfap53	CFAP53	1:1
Cfap54	CFAP54	1:1
Cfap57	CFAP57	1:1
Cfap58	CFAP58	1:1
Cfap61	CFAP61	1:1
Cfap65	CFAP65	1:1
Cfap68	CFAP68	1:1
Cfap69	CFAP69	1:1
Cfap70	CFAP70	1:1
Cfap73	CFAP73	1:1
Cfap74	CFAP74	1:1
Cfap77	CFAP77	1:1
Cfap90	CFAP90	1:1
Cfap91	CFAP91	1:1
Cfap92	CFAP92	1:1
Cfap95	CFAP95	1:1
Cfap96	CFAP96	1:1
Cfap97	CFAP97	1:1
Cfap97d1	CFAP97D1	1:1
Cfap97d2	CFAP97D2	1:1
Cfap99	CFAP99	1:1
Cfb	CFB	1:1
Cfc1	CFC1	many
Cfc1	CFC1B	many
Cfd	CFD	1:1
Cfdp1	CFDP1	1:1
Cfh	CFH	1:1
Cfhr1	CFHR1	many
Cfhr1	CFHR2	many
Cfhr2	CFHR3	many
Cfhr2	CFHR4	many
Cfhr4	CFH	1:1
Cfi	CFI	1:1
Cfl1	CFL1	1:1
Cfl2	CFL2	1:1
Cflar	CFLAR	1:1
Cfp	CFP	1:1
Cftr	CFTR	1:1
Cga	CGA	1:1
Cgas	CGAS	1:1
Cggbp1	CGGBP1	1:1
Cgn	CGN	1:1
Cgnl1	CGNL1	1:1
Cgref1	CGREF1	1:1
Cgrrf1	CGRRF1	1:1
Ch25h	CH25H	1:1
Chac1	CHAC1	1:1
Chac2	CHAC2	1:1
Chad	CHAD	1:1
Chadl	CHADL	1:1
Chaer1	CHAER1	1:1
Chaf1a	CHAF1A	1:1
Chaf1b	CHAF1B	1:1
Champ1	CHAMP1	1:1
Chaserr	CHASERR	1:1
Chat	CHAT	1:1
Chchd1	CHCHD1	1:1
Chchd10	CHCHD10	1:1
Chchd2	CHCHD2	many
Chchd2	CHCHD2P9	many
Chchd2l2	ZBED5	1:1
Chchd3	CHCHD3	1:1
Chchd4	CHCHD4	1:1
Chchd5	CHCHD5	1:1
Chchd6	CHCHD6	1:1
Chchd7	CHCHD7	1:1
Chct1	CHCT1	1:1
Chd1	CHD1	1:1
Chd1l	CHD1L	1:1
Chd2	CHD2	1:1
Chd3	CHD3	1:1
Chd4	CHD4	1:1
Chd5	CHD5	1:1
Chd6	CHD6	1:1
Chd7	CHD7	1:1
Chd8	CHD8	1:1
Chd9	CHD9	1:1
Chdh	CHDH	1:1
Chek1	CHEK1	1:1
Chek2	CHEK2	1:1
Cherp	CHERP	1:1
Chfr	CHFR	1:1
Chga	CHGA	1:1
Chgb	CHGB	1:1
Chi3l1	CHI3L1	1:1
Chia1	CHIA	1:1
Chic1	CHIC1	1:1
Chic2	CHIC2	1:1
Chid1	CHID1	1:1
Chil3	CHIA	1:1
Chil4	CHIA	1:1
Chil5	CHIA	1:1
Chil6	CHIA	1:1
Chit1	CHIT1	1:1
Chka	CHKA	1:1
Chkb	CHKB	1:1
Chl1	CHL1	1:1
Chlsn	CHLSN	1:1
Chm	CHM	1:1
Chml	CHML	1:1
Chmp1a	CHMP1A	1:1
Chmp1b	CHMP1B	1:1
Chmp1b2	CHMP1B2P	1:1
Chmp2a	CHMP2A	1:1
Chmp2b	CHMP2B	1:1
Chmp3	CHMP3	many
Chmp3	RNF103-CHMP3	many
Chmp4b	CHMP4B	many
Chmp4b	CHMP4BP1	many
Chmp4c	CHMP4C	1:1
Chmp5	CHMP5	1:1
Chmp6	CHMP6	1:1
Chmp7	CHMP7	1:1
Chn1	CHN1	1:1
Chn2	CHN2	1:1
Chodl	CHODL	1:1
Chordc1	CHORDC1	1:1
Chp1	CHP1	1:1
Chp2	CHP2	1:1
Chpf	CHPF	1:1
Chpf2	CHPF2	1:1
Chpt1	CHPT1	1:1
Chrac1	CHRAC1	1:1
Chrd	CHRD	1:1
Chrdl1	CHRDL1	1:1
Chrdl2	CHRDL2	1:1
Chrm1	CHRM1	1:1
Chrm2	CHRM2	1:1
Chrm3	CHRM3	1:1
Chrm4	CHRM4	1:1
Chrm5	CHRM5	1:1
Chrna1	CHRNA1	1:1
Chrna10	CHRNA10	1:1
Chrna2	CHRNA2	1:1
Chrna3	CHRNA3	1:1
Chrna4	CHRNA4	1:1
Chrna5	CHRNA5	1:1
Chrna6	CHRNA6	1:1
Chrna7	CHRFAM7A	many
Chrna7	CHRNA7	many
Chrna9	CHRNA9	1:1
Chrnb1	CHRNB1	1:1
Chrnb2	CHRNB2	1:1
Chrnb3	CHRNB3	1:1
Chrnb4	CHRNB4	1:1
Chrnd	CHRND	1:1
Chrne	CHRNE	1:1
Chrng	CHRNG	1:1
Chst1	CHST1	1:1
Chst10	CHST10	1:1
Chst11	CHST11	1:1
Chst12	CHST12	1:1
Chst13	CHST13	1:1
Chst14	CHST14	1:1
Chst15	CHST15	1:1
Chst2	CHST2	1:1
Chst3	CHST3	1:1
Chst4	CHST4	1:1
Chst5	CHST5	many
Chst5	CHST6	many
Chst7	CHST7	1:1
Chst8	CHST8	1:1
Chst9	CHST9	1:1
Chsy1	CHSY1	1:1
Chsy3	CHSY3	1:1
Chtf18	CHTF18	1:1
Chtf8	CHTF8	many
Chtf8	DERPC	many
Chtop	CHTOP	1:1
Chuk	CHUK	1:1
Churc1	CHURC1	1:1
Ciao1	CIAO1	1:1
Ciao2a	CIAO2A	1:1
Ciao2b	CIAO2B	1:1
Ciao3	CIAO3	1:1
Ciapin1	CIAPIN1	1:1
Ciart	CIART	1:1
Cib1	CIB1	1:1
Cib2	CIB2	1:1
Cib3	CIB3	1:1
Cib4	CIB4	1:1
Cibar1	CIBAR1	1:1
Cibar2	CIBAR2	1:1
Cic	CIC	1:1
Cidea	CIDEA	1:1
Cideb	CIDEB	1:1
Cidec	CIDEC	1:1
Ciita	CIITA	1:1
Cilk1	CILK1	1:1
Cilp	CILP	1:1
Cilp2	CILP2	1:1
Cimap1a	CIMAP1A	1:1
Cimap1b	CIMAP1B	1:1
Cimap1c	CIMAP1C	1:1
Cimap1d	CIMAP1D	1:1
Cimap2	CIMAP2	1:1
Cimap3	CIMAP3	1:1
Cimip1	CIMIP1	1:1
Cimip2a	CIMIP2A	1:1
Cimip2b	CIMIP2B	1:1
Cimip2c	CIMIP2C	1:1
Cimip3	CIMIP3	1:1
Cimip4	CIMIP4	1:1
Cimip5	CIMIP5	1:1
Cimip6	CIMIP6	1:1
Cimip7	CIMIP7	1:1
Cinp	CINP	1:1
Cip2a	CIP2A	1:1
Cipc	CIPC	1:1
Cirbp	CIRBP	1:1
Cirop	CIROP	1:1
Ciroz	CIROZ	1:1
Cirsr	CIRSR	1:1
Cisd1	CISD1	1:1
Cisd2	CISD2	1:1
Cisd3	CISD3	1:1
Cish	CISH	1:1
Cistr	CISTR	1:1
Cit	CIT	1:1
Cited1	CITED1	1:1
Cited2	CITED2	1:1
Cited4	CITED4	1:1
Ciz1	CIZ1	1:1
Ckap2	CKAP2	1:1
Ckap2l	CKAP2L	1:1
Ckap4	CKAP4	1:1
Ckap5	CKAP5	1:1
Ckb	CKB	1:1
Cklf	CKLF	1:1
Ckm	CKM	1:1
Ckmt1	CKMT1A	many
Ckmt1	CKMT1B	many
Ckmt2	CKMT2	1:1
Cks1b	CKS1B	1:1
Cks2	CKS2	1:1
Clasp1	CLASP1	1:1
Clasp2	CLASP2	1:1
Clasrp	CLASRP	1:1
Clba1	CLBA1	1:1
Clca1	CLCA1	1:1
Clca2	CLCA2	1:1
Clca3a1	CLCA3P	1:1
Clca3a2	CLCA3P	1:1
Clca3b	CLCA3P	1:1
Clca4a	CLCA4	1:1
Clca4b	CLCA4	1:1
Clcc1	CLCC1	1:1
Clcf1	CLCF1	1:1
Clcn1	CLCN1	1:1
Clcn2	CLCN2	1:1
Clcn3	CLCN3	1:1
Clcn4	CLCN4	1:1
Clcn5	CLCN5	1:1
Clcn6	CLCN6	1:1
Clcn7	CLCN7	1:1
Clcnka	CLCNKA	many
Clcnka	CLCNKB	many
Clcnkb	CLCNKA	many
Clcnkb	CLCNKB	many
Cldn1	CLDN1	1:1
Cldn10	CLDN10	1:1
Cldn11	CLDN11	1:1
Cldn12	CLDN12	1:1
Cldn13	CLDN4	1:1
Cldn14	CLDN14	1:1
Cldn15	CLDN15	1:1
Cldn16	CLDN16	1:1
Cldn17	CLDN17	1:1
Cldn18	CLDN18	1:1
Cldn19	CLDN19	1:1
Cldn2	CLDN2	1:1
Cldn20	CLDN20	1:1
Cldn22	CLDN22	1:1
Cldn23	CLDN23	1:1
Cldn24	CLDN24	1:1
Cldn25	CLDN25	1:1
Cldn3	CLDN3	1:1
Cldn34a	CLDN34	1:1
Cldn34b1	CLDN34	1:1
Cldn34b2	CLDN34	1:1
Cldn34b3	CLDN34	1:1
Cldn34b4	CLDN34	1:1
Cldn34c1	CLDN34	1:1
Cldn34c2	CLDN34	1:1
Cldn34c4	CLDN34	1:1
Cldn34c5	CLDN34	1:1
Cldn34c6	CLDN34	1:1
Cldn34d	CLDN34	1:1
Cldn4	CLDN4	1:1
Cldn5	CLDN5	1:1
Cldn6	CLDN6	1:1
Cldn7	CLDN7	1:1
Cldn8	CLDN8	1:1
Cldn9	CLDN9	1:1
Cldnd1	CLDND1	1:1
Cldnd2	CLDND2	1:1
Clec10a	CLEC10A	1:1
Clec11a	CLEC11A	1:1
Clec12a	CLEC12A	1:1
Clec12b	CLEC12B	1:1
Clec14a	CLEC14A	1:1
Clec16a	CLEC16A	1:1
Clec18a	CLEC18A	many
Clec18a	CLEC18B	many
Clec18a	CLEC18C	many
Clec1a	CLEC1A	1:1
Clec1b	CLEC1B	1:1
Clec2d	CLEC2D	1:1
Clec2e	CLEC2D	1:1
Clec2f	CLEC2D	1:1
Clec2g	CLEC2D	1:1
Clec2h	CLEC2D	1:1
Clec2i	CLEC2D	1:1
Clec2l	CLEC2L	1:1
Clec3a	CLEC3A	1:1
Clec3b	CLEC3B	1:1
Clec4a1	CLEC4A	1:1
Clec4a2	CLEC4A	1:1
Clec4a3	CLEC4A	1:1
Clec4a4	CLEC4A	1:1
Clec4b1	CLEC4C	1:1
Clec4b2	CLEC4C	1:1
Clec4d	CLEC4D	1:1
Clec4e	CLEC4E	1:1
Clec4f	CLEC4F	1:1
Clec4g	CLEC4G	1:1
Clec4n	CLEC6A	1:1
Clec5a	CLEC5A	1:1
Clec7a	CLEC7A	1:1
Clec9a	CLEC9A	1:1
Clgn	CLGN	1:1
Clhc1	CLHC1	1:1
Clic1	CLIC1	1:1
Clic3	CLIC3	1:1
Clic4	CLIC4	1:1
Clic5	CLIC5	1:1
Clic6	CLIC6	1:1
Clint1	CLINT1	1:1
Clip1	CLIP1	1:1
Clip2	CLIP2	1:1
Clip3	CLIP3	1:1
Clip4	CLIP4	1:1
Clk1	CLK1	1:1
Clk2	CLK2	1:1
Clk3	CLK3	1:1
Clk4	CLK4	1:1
Clmb	CLMB	1:1
Clmn	CLMN	1:1
Clmp	CLMP	1:1
Cln3	CLN3	1:1
Cln5	CLN5	1:1
Cln6	CLN6	1:1
Cln8	CLN8	1:1
Clnk	CLNK	1:1
Clns1a	CLNS1A	1:1
Clock	CLOCK	1:1
Clp1	CLP1	1:1
Clpb	CLPB	1:1
Clpp	CLPP	1:1
Clps	CLPS	1:1
Clpsl2	CLPSL2	1:1
Clptm1	CLPTM1	1:1
Clptm1l	CLPTM1L	1:1
Clpx	CLPX	1:1
Clrn1	CLRN1	1:1
Clrn2	CLRN2	1:1
Clrn3	CLRN3	1:1
Clspn	CLSPN	1:1
Clstn1	CLSTN1	1:1
Clstn2	CLSTN2	1:1
Clstn3	CLSTN3	1:1
Clta	CLTA	1:1
Cltb	CLTB	1:1
Cltc	CLTC	1:1
Cltrn	CLTRN	1:1
Clu	CLU	1:1
Cluh	CLUH	1:1
Clvs1	CLVS1	1:1
Clvs2	CLVS2	1:1
Clxn	CLXN	1:1
Clybl	CLYBL	1:1
Cma1	CMA1	1:1
Cmah	CMAHP	1:1
Cmas	CMAS	1:1
Cmbl	CMBL	1:1
Cmc1	CMC1	1:1
Cmc2	CMC2	1:1
Cmc4	CMC4	1:1
Cmip	CMIP	1:1
Cmklr1	CMKLR1	1:1
Cmklr2	CMKLR2	1:1
Cmpk1	CMPK1	1:1
Cmpk2	CMPK2	1:1
Cmss1	CMSS1	1:1
Cmtm1	CMTM1	1:1
Cmtm2a	CMTM2	1:1
Cmtm2b	CMTM2	1:1
Cmtm3	CMTM3	1:1
Cmtm4	CMTM4	1:1
Cmtm5	CMTM5	1:1
Cmtm6	CMTM6	1:1
Cmtm7	CMTM7	1:1
Cmtm8	CMTM8	1:1
Cmtr1	CMTR1	1:1
Cmtr2	CMTR2	1:1
Cmya5	CMYA5	1:1
Cnbd1	CNBD1	1:1
Cnbd2	CNBD2	1:1
Cnbp	CNBP	1:1
Cndp1	CNDP1	1:1
Cndp2	CNDP2	1:1
Cnep1r1	CNEP1R1	1:1
Cnfn	CNFN	1:1
Cnga1	CNGA1	1:1
Cnga2	CNGA2	1:1
Cnga3	CNGA3	1:1
Cnga4	CNGA4	1:1
Cngb1	CNGB1	1:1
Cngb3	CNGB3	1:1
Cnih1	CNIH1	1:1
Cnih2	CNIH2	1:1
Cnih3	CNIH3	1:1
Cnih4	CNIH4	1:1
Cnksr1	CNKSR1	1:1
Cnksr2	CNKSR2	1:1
Cnksr3	CNKSR3	1:1
Cnmd	CNMD	1:1
Cnn1	CNN1	1:1
Cnn2	CNN2	1:1
Cnn3	CNN3	1:1
Cnnm1	CNNM1	1:1
Cnnm2	CNNM2	1:1
Cnnm3	CNNM3	1:1
Cnnm4	CNNM4	1:1
Cnot1	CNOT1	1:1
Cnot10	CNOT10	1:1
Cnot11	CNOT11	1:1
Cnot12	CNOT12	1:1
Cnot2	CNOT2	1:1
Cnot3	CNOT3	1:1
Cnot4	CNOT4	1:1
Cnot6	CNOT6	1:1
Cnot6l	CNOT6L	1:1
Cnot7	CNOT7	1:1
Cnot8	CNOT8	1:1
Cnot9	CNOT9	1:1
Cnp	CNP	1:1
Cnppd1	CNPPD1	1:1
Cnpy1	CNPY1	1:1
Cnpy2	CNPY2	1:1
Cnpy3	CNPY3	1:1
Cnpy4	CNPY4	1:1
Cnr1	CNR1	1:1
Cnr2	CNR2	1:1
Cnrip1	CNRIP1	1:1
Cnst	CNST	1:1
Cntd1	CNTD1	1:1
Cntf	CNTF	1:1
Cntfr	CNTFR	1:1
Cntln	CNTLN	1:1
Cntn1	CNTN1	1:1
Cntn2	CNTN2	1:1
Cntn3	CNTN3	1:1
Cntn4	CNTN4	1:1
Cntn5	CNTN5	1:1
Cntn6	CNTN6	1:1
Cntnap1	CNTNAP1	1:1
Cntnap2	CNTNAP2	1:1
Cntnap3	CNTNAP3	many
Cntnap3	CNTNAP3B	many
Cntnap3	CNTNAP3C	many
Cntnap4	CNTNAP4	1:1
Cntnap5a	CNTNAP5	1:1
Cntnap5b	CNTNAP5	1:1
Cntnap5c	CNTNAP5	1:1
Cntrl	CNTRL	1:1
Cntrob	CNTROB	1:1
Coa3	COA3	1:1
Coa4	COA4	1:1
Coa5	COA5	1:1
Coa6	COA6	1:1
Coa7	COA7	1:1
Coa8	COA8	1:1
Coasy	COASY	1:1
Cobl	COBL	1:1
Cobll1	COBLL1	1:1
Coch	COCH	1:1
Cog1	COG1	1:1
Cog2	COG2	1:1
Cog3	COG3	1:1
Cog4	COG4	1:1
Cog5	COG5	1:1
Cog6	COG6	1:1
Cog7	COG7	1:1
Cog8	COG8	1:1
Coil	COIL	1:1
Col10a1	COL10A1	1:1
Col11a1	COL11A1	1:1
Col11a2	COL11A2	1:1
Col12a1	COL12A1	1:1
Col13a1	COL13A1	1:1
Col14a1	COL14A1	1:1
Col15a1	COL15A1	1:1
Col16a1	COL16A1	1:1
Col17a1	COL17A1	1:1
Col18a1	COL18A1	1:1
Col19a1	COL19A1	1:1
Col1a1	COL1A1	1:1
Col1a2	COL1A2	1:1
Col20a1	COL20A1	1:1
Col22a1	COL22A1	1:1
Col23a1	COL23A1	1:1
Col24a1	COL24A1	1:1
Col25a1	COL25A1	1:1
Col26a1	COL26A1	1:1
Col27a1	COL27A1	1:1
Col28a1	COL28A1	1:1
Col2a1	COL2A1	1:1
Col3a1	COL3A1	1:1
Col4a1	COL4A1	1:1
Col4a2	COL4A2	1:1
Col4a3	COL4A3	1:1
Col4a4	COL4A4	1:1
Col4a5	COL4A5	1:1
Col4a6	COL4A6	1:1
Col5a1	COL5A1	1:1
Col5a2	COL5A2	1:1
Col5a3	COL5A3	1:1
Col6a1	COL6A1	1:1
Col6a2	COL6A2	1:1
Col6a3	COL6A3	1:1
Col6a4	COL6A4P1	many
Col6a4	COL6A4P2	many
Col6a5	COL6A5	1:1
Col6a6	COL6A6	1:1
Col7a1	COL7A1	1:1
Col8a1	COL8A1	1:1
Col8a2	COL8A2	1:1
Col9a1	COL9A1	1:1
Col9a2	COL9A2	1:1
Col9a3	COL9A3	1:1
Colec10	COLEC10	1:1
Colec11	COLEC11	1:1
Colec12	COLEC12	1:1
Colgalt1	COLGALT1	1:1
Colgalt2	COLGALT2	1:1
Colq	COLQ	1:1
Commd1	COMMD1	1:1
Commd10	COMMD10	1:1
Commd2	COMMD2	1:1
Commd3	COMMD3	1:1
Commd4	COMMD4	1:1
Commd5	COMMD5	1:1
Commd6	COMMD6	1:1
Commd7	COMMD7	1:1
Commd8	COMMD8	1:1
Commd9	COMMD9	1:1
Comp	COMP	1:1
Comt	COMT	1:1
Comtd1	COMTD1	1:1
Cop1	COP1	1:1
Copa	COPA	1:1
Copb1	COPB1	1:1
Copb2	COPB2	1:1
Cope	COPE	1:1
Copg1	COPG1	1:1
Copg2	COPG2	1:1
Coprs	COPRS	1:1
Cops2	COPS2	1:1
Cops3	COPS3	1:1
Cops4	COPS4	1:1
Cops5	COPS5	1:1
Cops6	COPS6	1:1
Cops7a	COPS7A	1:1
Cops7b	COPS7B	1:1
Cops8	COPS8	1:1
Cops9	COPS9	1:1
Copz1	COPZ1	1:1
Copz2	COPZ2	1:1
Coq10a	COQ10A	1:1
Coq10b	COQ10B	1:1
Coq2	COQ2	1:1
Coq3	COQ3	1:1
Coq4	COQ4	1:1
Coq5	COQ5	1:1
Coq6	COQ6	1:1
Coq7	COQ7	1:1
Coq8a	COQ8A	1:1
Coq8b	COQ8B	1:1
Coq9	COQ9	1:1
Corin	CORIN	1:1
Coro1a	CORO1A	1:1
Coro1b	CORO1B	1:1
Coro1c	CORO1C	1:1
Coro2a	CORO2A	1:1
Coro2b	CORO2B	1:1
Coro6	CORO6	1:1
Coro7	CORO7	1:1
Cort	CORT	1:1
Cotl1	COTL1	1:1
Cox10	COX10	1:1
Cox11	COX11	1:1
Cox14	COX14	1:1
Cox15	COX15	1:1
Cox16	COX16	1:1
Cox17	COX17	1:1
Cox18	COX18	1:1
Cox19	COX19	1:1
Cox20	COX20	1:1
Cox4i1	COX4I1	1:1
Cox4i2	COX4I2	1:1
Cox5a	COX5A	1:1
Cox5b	COX5B	1:1
Cox6a1	COX6A1	1:1
Cox6a2	COX6A2	1:1
Cox6b1	COX6B1	1:1
Cox6b2	COX6B2	1:1
Cox6c	COX6C	1:1
Cox7a1	COX7A1	1:1
Cox7a2	COX7A2	many
Cox7a2	COX7A2P2	many
Cox7a2l	COX7A2L	1:1
Cox7b	COX7B	1:1
Cox7b2	COX7B2	1:1
Cox7c	COX7C	1:1
Cox8a	COX8A	1:1
Cox8b	COX8BP	1:1
Cox8c	COX8C	1:1
Coxfa4	COXFA4	1:1
Coxfa4l2	COXFA4L2	1:1
Coxfa4l3	COXFA4L3	1:1
Cp	CP	1:1
Cpa1	CPA1	1:1
Cpa2	CPA2	1:1
Cpa3	CPA3	1:1
Cpa4	CPA4	1:1
Cpa5	CPA5	1:1
Cpa6	CPA6	1:1
Cpap	CPAP	1:1
Cpb1	CPB1	1:1
Cpb2	CPB2	1:1
Cpd	CPD	1:1
Cpe	CPE	1:1
Cpeb1	CPEB1	1:1
Cpeb2	CPEB2	1:1
Cpeb3	CPEB3	1:1
Cpeb4	CPEB4	1:1
Cped1	CPED1	1:1
Cphx1	CPHXL	many
Cphx1	CPHXL2	many
Cplane1	CPLANE1	1:1
Cplane2	CPLANE2	1:1
Cplx1	CPLX1	1:1
Cplx2	CPLX2	1:1
Cplx3	CPLX3	1:1
Cplx4	CPLX4	1:1
Cpm	CPM	1:1
Cpn1	CPN1	1:1
Cpn2	CPN2	1:1
Cpne1	CPNE1	1:1
Cpne2	CPNE2	1:1
Cpne3	CPNE3	1:1
Cpne4	CPNE4	1:1
Cpne5	CPNE5	1:1
Cpne6	CPNE6	1:1
Cpne7	CPNE7	1:1
Cpne8	CPNE8	1:1
Cpne9	CPNE9	1:1
Cpox	CPOX	1:1
Cpped1	CPPED1	1:1
Cpq	CPQ	1:1
Cps1	CPS1	1:1
Cpsf1	CPSF1	1:1
Cpsf2	CPSF2	1:1
Cpsf3	CPSF3	1:1
Cpsf4	CPSF4	1:1
Cpsf4l	CPSF4L	1:1
Cpsf6	CPSF6	1:1
Cpsf7	CPSF7	1:1
Cpt1a	CPT1A	1:1
Cpt1b	CPT1B	1:1
Cpt1c	CPT1C	1:1
Cpt2	CPT2	1:1
Cptp	CPTP	1:1
Cpvl	CPVL	1:1
Cpxcr1	CPXCR1	1:1
Cpxm1	CPXM1	1:1
Cpxm2	CPXM2	1:1
Cpz	CPZ	1:1
Cr1l	CR1	many
Cr1l	CR1L	many
Cr2	CR2	1:1
Crabp1	CRABP1	1:1
Crabp2	CRABP2	1:1
Cracd	CRACD	1:1
Cracdl	CRACDL	1:1
Cracr2a	CRACR2A	1:1
Cracr2b	CRACR2B	1:1
Cradd	CRADD	1:1
Cramp1	CRAMP1	1:1
Crat	CRAT	1:1
Crb1	CRB1	1:1
Crb2	CRB2	1:1
Crb3	CRB3	1:1
Crbn	CRBN	1:1
Crcp	CRCP	1:1
Crct1	CRCT1	1:1
Creb1	CREB1	1:1
Creb3	CREB3	1:1
Creb3l1	CREB3L1	1:1
Creb3l2	CREB3L2	1:1
Creb3l3	CREB3L3	1:1
Creb3l4	CREB3L4	1:1
Creb5	CREB5	1:1
Crebbp	CREBBP	1:1
Crebl2	CREBL2	1:1
Crebrf	CREBRF	1:1
Crebzf	CREBZF	1:1
Creg1	CREG1	1:1
Creg2	CREG2	1:1
Creld1	CRELD1	1:1
Creld2	CRELD2	1:1
Crem	CREM	1:1
Crh	CRH	1:1
Crhbp	CRHBP	1:1
Crhr1	CRHR1	many
Crhr1	LINC02210-CRHR1	many
Crhr2	CRHR2	1:1
Crim1	CRIM1	1:1
Crip1	CRIP1	1:1
Crip2	CRIP2	1:1
Crip3	CRIP3	1:1
Cript	CRIPT	1:1
Cripto	CRIPTO	many
Cripto	CRIPTO3	many
Crisp1	CRISP3	1:1
Crisp2	CRISP2	1:1
Crisp4	CRISP1	1:1
Crispld1	CRISPLD1	1:1
Crispld2	CRISPLD2	1:1
Crk	CRK	1:1
Crkl	CRKL	1:1
Crlf1	CRLF1	1:1
Crlf2	CRLF2	1:1
Crlf3	CRLF3	1:1
Crls1	CRLS1	1:1
Crmp1	CRMP1	1:1
Crnde	CRNDE	1:1
Crnkl1	CRNKL1	1:1
Crnn	CRNN	1:1
Crocc	CROCC	1:1
Crocc2	CROCC2	1:1
Crot	CROT	1:1
Crp	CRP	1:1
Crppa	CRPPA	1:1
Crtac1	CRTAC1	1:1
Crtam	CRTAM	1:1
Crtap	CRTAP	1:1
Crtc1	CRTC1	1:1
Crtc2	CRTC2	1:1
Crtc3	CRTC3	1:1
Crx	CRX	1:1
Cry1	CRY1	1:1
Cry2	CRY2	1:1
Cryaa	CRYAA	1:1
Cryab	CRYAB	1:1
Cryba1	CRYBA1	1:1
Cryba2	CRYBA2	1:1
Cryba4	CRYBA4	1:1
Crybb1	CRYBB1	1:1
Crybb2	CRYBB2	1:1
Crybb3	CRYBB3	1:1
Crybg1	CRYBG1	1:1
Crybg2	CRYBG2	1:1
Crybg3	CRYBG3	1:1
Cryga	CRYGA	1:1
Crygb	CRYGB	1:1
Crygc	CRYGC	1:1
Crygd	CRYGD	1:1
Cryge	CRYGD	1:1
Crygf	CRYGD	1:1
Crygn	CRYGN	1:1
Crygs	CRYGS	1:1
Cryl1	CRYL1	1:1
Crym	CRYM	1:1
Cryz	CRYZ	1:1
Cryzl1	CRYZL1	1:1
Cryzl2	CRYZL2P	1:1
Cs	CS	1:1
Csad	CSAD	1:1
Csdc2	CSDC2	1:1
Csde1	CSDE1	1:1
Cse1l	CSE1L	1:1
Csf1	CSF1	1:1
Csf1r	CSF1R	1:1
Csf2	CSF2	1:1
Csf2ra	CSF2RA	1:1
Csf2rb	CSF2RB	1:1
Csf2rb2	CSF2RB	1:1
Csf3	CSF3	1:1
Csf3r	CSF3R	1:1
Csgalnact1	CSGALNACT1	1:1
Csgalnact2	CSGALNACT2	1:1
Csk	CSK	1:1
Csl	CS	1:1
Csmd1	CSMD1	1:1
Csmd2	CSMD2	1:1
Csmd3	CSMD3	1:1
Csn1s1	CSN1S1	1:1
Csn1s2a	CSN1S2AP	1:1
Csn1s2b	CSN1S2BP	1:1
Csn2	CSN2	1:1
